title,location,url,startdate,enddate,type,price,solddate
Studio Adventure: Phú Quốc Odyssey NYE 23-24,"Chez Carole Beach Resort, Phu Quoc ",https://www.ticketmelon.com/studioadventurecollective/phuquocodyssey,2023-12-31,2024-01-02,Last Chance - Group Package (10 Tickets),25,
Blueprint Livehouse: NEW YEAR BUT STILL EMO,Blueprint Livehouse,https://www.ticketmelon.com/blueprint/emohny24,2024-01-01,2024-01-01,Standing Ticket,150,
THE 33RD  SEOUL MUSIC AWARDS IN BANGKOK,RAJAMANGALA NATIONAL STADIUM,https://www.ticketmelon.com/sma/33rd-smainbkk,2024-01-02,2024-01-02,4800,"4,800",
THE 33RD  SEOUL MUSIC AWARDS IN BANGKOK,RAJAMANGALA NATIONAL STADIUM,https://www.ticketmelon.com/sma/33rd-smainbkk,2024-01-02,2024-01-02,4500,"4,500",
THE 33RD  SEOUL MUSIC AWARDS IN BANGKOK,RAJAMANGALA NATIONAL STADIUM,https://www.ticketmelon.com/sma/33rd-smainbkk,2024-01-02,2024-01-02,3800,"3,800",
THE 33RD  SEOUL MUSIC AWARDS IN BANGKOK,RAJAMANGALA NATIONAL STADIUM,https://www.ticketmelon.com/sma/33rd-smainbkk,2024-01-02,2024-01-02,2800,"2,800",
THE 33RD  SEOUL MUSIC AWARDS IN BANGKOK,RAJAMANGALA NATIONAL STADIUM,https://www.ticketmelon.com/sma/33rd-smainbkk,2024-01-02,2024-01-02,1800,"1,800",2023-12-29
Trevor Lock for One Month Only! Best Comedy on Khaosan,The Comedy Joint Khaosan Bangkok Comedy Club,https://www.ticketmelon.com/bangkokcomedyclub/trevor-lock,2024-01-03,2024-02-03,,,
ChillRave on the wave,Сhalong bay,https://www.ticketmelon.com/asapprojects/chillrave-on-the-wave,2024-01-04,2024-01-04,,,
Trampolin,Yodpiman Riverwalk,https://www.ticketmelon.com/bangkokisland/5a8b634ba55911ee922201117567899b,2024-01-04,2024-01-04,Free Ticket,Free,
【She Her Her Hers Live in Bangkok “Diffusion of Responsibility】,-,https://www.ticketmelon.com/loudlyprefer/she-her-her-hers,2024-01-05,2024-01-05,ADV,"1,000",
【She Her Her Hers Live in Bangkok “Diffusion of Responsibility】,-,https://www.ticketmelon.com/loudlyprefer/she-her-her-hers,2024-01-05,2024-01-05,At DOOR,"1,400",
COM’Z “THE LSYG EXPLORER” WORLD TOUR,"The Bee, Publika",https://www.ticketmelon.com/lucidlive/comztour,2024-01-05,2024-01-05,,,
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,Entry Ticket - Early Bird,900,2023-12-29
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,Entry Ticket - Standard,"1,200",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,VIP TABLE DETAILS,"25,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,VIP 1,"25,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,VIP 2,"25,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,VIP 3,"25,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,VIP 4,"25,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,VIP 5,"25,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,VIP 6,"25,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,VIP 7,"25,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,VIP 8,"25,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,VIP 9,"25,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,VIP 10,"25,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,VIP 11,"25,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,STANDING TABLE - DETAILS,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST A1,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST A2,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST A3,"8,000",2023-12-29
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST A3B,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST A4,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST A5,"8,000",2023-12-29
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST A5B,"8,000",2023-12-29
