title,location,startdate,enddate,vendor
JUNNY Live in Bangkok,Voice Space,2023-11-14,2023-11-14,Ticketmelon
SE SO NEON Live in Bangkok 2023,Lido Connect,2023-11-17,2023-11-17,Ticketmelon
Brewtopia Bangkok 2023,"Sermsuk Warehouse, Bangkok",2023-11-17,2023-11-19,Ticketmelon
Southside Festival,Andamanda Phuket,2023-11-18,2023-11-18,Ticketmelon
10TPX2YS (DAY 2),Never Normal,2023-11-18,2023-11-18,Ticketmelon
Psychedelic Cruise BKK,Wat worachanyawas,2023-11-18,2023-11-18,Ticketmelon
TYSB LIVE IN CNX Vol.1,Thapae East,2023-11-18,2023-11-18,Ticketmelon
40 YEARS OF MORRISSEY,สามย่าน มิตรทาวน์ ฮอลล์,2023-11-18,2023-11-18,TTM
แหลมเจริญเฟส, หาดแหลมเจริญ จังหวัดระยอง,2023-11-18,2023-11-18,The Concert
IL DIVO A NEW DAY TOUR,"TRUE ICON HALL, 7th FLOOR, ICONSIAM",2023-11-19,2023-11-19,TTM
304 Music Festival, 304 Music Festival,2023-11-24,2023-11-25,The Concert
E~San 11th Music Festival Thailand 2023, หาดสวรรค์ เขื่อนอุบลรัตน์ จังหวัดขอนแก่น,2023-11-24,2023-11-26,The Concert
WELCOME HOME BENEFIT SHOW,Cuneta Astrodome,2023-11-25,2023-11-25,Ticketmelon
Ploenchit Fair 2023,Bangkok Patana School,2023-11-25,2023-11-25,Ticketmelon
MOB PARTY 23,THE A TER ,2023-11-25,2023-11-25,Ticketmelon
"""40 ปี กวีศรีชาวไร่ พงษ์เทพ กระโดนชำนาญ""", ลานกิจกรรมเขาใหญ่มาราธอน ถนนธนะรัชต์ กม.21,2023-11-25,2023-11-25,The Concert
คืนถิ่น ศิษย์เก่าโยธา ม.มหานคร, สนามฟุตบอล ณ มหาวิทยาลัยเทคโนโลยี มหานคร,2023-11-25,2023-11-25,The Concert
VERY FESTIVAL 2023,"Ballroom Hall, QSNCC",2023-11-25,2023-11-26,Ticketmelon
est Cola Presents Monster Music Festival 2023, สนามกีฬาแห่งชาติและสนามเทพหัสดิน,2023-11-25,2023-11-26,The Concert
Chiang Mai Street Jazz Festival 2023,Old Chiangmai Cultural Center,2023-11-25,2023-12-03,Ticketmelon
CosCos Suki #09,Krungthep Aphiwat Central Terminal (Bang Sue Grand Station),2023-11-26,2023-11-26,Ticketmelon
TTA Presents: HOMESHAKE Live in Kuala Lumpur,The Bee,2023-11-26,2023-11-26,Ticketmelon
BENNY SINGS LIVE IN BANGKOK,Decommune,2023-11-26,2023-11-26,Ticketmelon
Johnny Orlando: The Ride Tour in Kuala Lumpur VIP Experience,"The Bee, Publika",2023-11-27,2023-11-27,Ticketmelon
The Concert TEST, JJ HALL ชั้น 6 @ JJ MALL,2023-12-01,2023-12-31,The Concert
SongHits Festival Volume 1,"Melvin Jones Grandstand, Baguio City",2023-12-02,2023-12-02,Ticketmelon
SoundAbout Mountain Fest,Midwinter เขาใหญ่,2023-12-02,2023-12-02,TTM
SoundAbout Mountain Fest,Midwinter เขาใหญ่,2023-12-02,2023-12-02,TTM
Longlay Beach Life Festival #4, Diamond Beach (Longlay Beach),2023-12-02,2023-12-03,The Concert
Maho Rasop 2023, ESC PARK BANGKOK,2023-12-02,2023-12-03,The Concert
รถตู้รับส่งงาน Maho Rasop 2023, ESC PARK BANGKOK,2023-12-02,2023-12-03,The Concert
Journey Fest | เจอกันนี่ เฟส เชียงใหม่, Journey Fest At The Consul's Garden,2023-12-02,2023-12-03,The Concert
FALL OUT BOY LIVE IN BANGKOK 2023,Thunder Dome,2023-12-06,2023-12-06,Ticketmelon
Jay Chou Carnival World Tour 2023 ' Bangkok,สนามราชมังคลากีฬาสถาน,2023-12-09,2023-12-09,TTM
Jay Chou Carnival World Tour 2023 ' Bangkok,สนามราชมังคลากีฬาสถาน,2023-12-09,2023-12-09,TTM
