title,location,startdate,enddate,vendor
ONE OK ROCK Luxury Disease Asia Tour 2023  in Bangkok,อิมแพ็ค อารีน่า เมืองทองธานี,2023-12-12,2023-12-12,TTM
Wonderfruit 2023 x Polygon,Wonderfruit,2023-12-14,2023-12-18,Ticketmelon
Wonderfruit 2023,"The Fields at Siam Country Club, Pattaya, Thailand.",2023-12-14,2023-12-18,Ticketmelon
HARU NEMURI Live in Bangkok 2023,Lido Connect,2023-12-15,2023-12-15,Ticketmelon
Skyline Film Bangkok ดูหนังบนดาดฟ้า,River City Bangkok,2023-12-15,2023-12-17,Ticketmelon
Queendom Fest,Lalaport BBCC,2023-12-16,2023-12-16,Ticketmelon
Muggle Con Thailand 2023,บางซื่อจังชั่น (MRT กำแพงเพชร),2023-12-16,2023-12-16,Ticketmelon
Artistic Knight,"Museum of Contemporary Art (MOCA BANGKOK), ถนน กำแพงเพชร 6 แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร ประเทศไทย",2023-12-16,2023-12-16,Ticketmelon
2023 Agila Music Fest,Amoranto Stadium,2023-12-16,2023-12-16,Ticketmelon
RS MUSIC ร่วมกับ อำพลฟูดส์ Present CONCERT SHORT CHARGE SHOCK REAL ROCK RETURN,อิมแพ็ค อารีน่า,2023-12-16,2023-12-16,TTM
Phoenix Next presents Konomi Suzuki Special Live in Bangkok,"ลิโด้ 2, ลิโด้ คอนเนค สยามสแควร์‬",2023-12-16,2023-12-16,TTM
RS MUSIC ร่วมกับ อำพลฟูดส์ Present CONCERT SHORT CHARGE SHOCK REAL ROCK RETURN,อิมแพ็ค อารีน่า,2023-12-16,2023-12-16,TTM
RBSO 2023 : Orient et Occident,ศูนย์วัฒนธรรมแห่งประเทศไทย หอประชุมใหญ่,2023-12-16,2023-12-16,TTM
ร่วมใจแคมป์, ร่วมใจแคมป์,2023-12-16,2023-12-16,The Concert
ยอดเพชร ๑๑ กะรัต,เอ็ม เธียเตอร์ (ถ.เพชรบุรีตัดใหม่),2023-12-16,2023-12-17,TTM
2023 WOODZ WORLD TOUR ‘OO-LI and' in Bangkok,ธันเดอร์โดม เมืองทองธานี,2023-12-17,2023-12-17,TTM
2023 WOODZ WORLD TOUR ‘OO-LI and' in Bangkok,ธันเดอร์โดม เมืองทองธานี,2023-12-17,2023-12-17,TTM
BOYd+NOP FAMILY CHRISTMAS FUN FEST 2023,Treasure Hill Golf Club จ.ชลบุรี,2023-12-22,2023-12-23,TTM
GMMTV STARLYMPIC 2023,อิมแพ็ค อารีน่า เมืองทองธานี,2023-12-23,2023-12-23,TTM
Land of music 2023, Land of us Camp สวนผึ้ง ราชบุรี,2023-12-23,2023-12-23,The Concert
แสงเหนือ Music Festival 2, ช้าง โรง สี ดอยสะเก็ด  จังหวัดเชียงใหม่,2023-12-23,2023-12-24,The Concert
CAPE SCAPE Music Festival, หาดแหลมเจริญ จังหวัดระยอง,2023-12-24,2023-12-24,The Concert
comm//unity Sonic Xmas Eve, DECOMMUNE,2023-12-24,2023-12-24,The Concert
Moon Mountain X'mas Edition 2023,แพวันวาน,2023-12-24,2023-12-26,Ticketmelon
Moon Mountain X'mas 2023,แพวันวาน,2023-12-24,2023-12-26,Ticketmelon
Singha Corporation presents ZEAL Camp Over 2 ทิ้งตัว With Your Friends, She Sails Cafe & Beach Club จ.ระยอง,2023-12-26,2023-12-26,The Concert
NEON COUNTDOWN 2023,Wonder World Extreme Park,2023-12-29,2023-12-31,Ticketmelon
NEON COUNTDOWN 2023,Wonder World Extreme Park,2023-12-29,2023-12-31,Ticketmelon
NYE GALA 2024 ON THE BEACH at Alexa Beach Club ,Alexa Beach Club Pattaya ,2023-12-31,2023-12-31,Ticketmelon
 HOUSE OF DRAGON NEW YEAR EVE PARTY,REDSQUARE ROOFTOP BAR ,2023-12-31,2023-12-31,Ticketmelon
